CID	CAS	CanonicalSmiles	xlogp	tpsa
96350	30319-05-2	CC1=C(C=CS1)Br	28.2	2.7
92877	1224-92-6	CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O	20.2	5.9
21619272	5174-32-3	CC(=O)OC1=C(C=C(C=C1)[N+](=O)[O-])CCl	72.1	1.9
33772	27304-13-8	C12C(C(C3(C1O3)Cl)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl	12.5	4.2
637090	3724-65-0	CC=CC(=O)O	37.3	0.7
6741	83-43-2	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	94.8	1.9
1066	89-00-9	C1=CC(=C(N=C1)C(=O)O)C(=O)O	87.5	0.2
72921	5344-27-4	C1=CN=CC=C1CCO	33.1	0.1
38853	41372-08-1	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N	104.0	-1.9
182137	33643-46-8	CNC1(CCCCC1=O)C2=CC=CC=C2Cl	29.1	2.2
13493	911-65-9	CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OCC	76.1	4.3
16331	2052-15-5	CCCCOC(=O)CCC(=O)C	43.4	1.0
2756	51481-61-9	CC1=C(N=CN1)CSCCNC(=NC)NC#N	114.0	0.4
15572	1708-39-0	C1C(OC(O1)C2=CC=CC=C2)CO	38.7	0.7
14465	1187-03-7	CCN(CC)C(=O)N(CC)CC	23.6	1.2
5282379	4759-48-2	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	37.3	6.3
7274	96-05-9	CC(=C)C(=O)OCC=C	26.3	1.7
641423	1866-31-5	C=CCOC(=O)C=CC1=CC=CC=C1	26.3	3.0
3014032	91315-15-0	CCCCCCCCCCCCN1CC(OC(C1)C)C	12.5	6.3
7803	106-36-5	CCCOC(=O)CC	26.3	1.7
9709	367-25-9	C1=CC(=C(C=C1F)F)N	26.0	1.5
12867	719-22-2	CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C	34.1	3.4
135398739	69655-05-6	C1CC(OC1CO)N2C=NC3=C2N=CNC3=O	88.7	-1.2
43231	60200-06-8	C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl	163.0	1.2
636372	642-83-1	CC(=O)OC1C2C(C(C(=O)O2)OC(=O)C)OC1=O	105.0	-0.4
84907	15435-29-7	C1=C(C=C(C(=C1CC2=C(C(=CC(=C2)Cl)Br)O)O)Br)Cl	40.5	5.8
37801	67700-30-5	CC(C1=CC=CC2=C1OC=C2C3=CC=CC=C3)C(=O)O	50.4	4.0
211592	23433-04-7	CCCCC(CCO)O	40.5	1.1
5934	55-80-1	CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C	28.0	4.6
10008	462-06-6	C1=CC=C(C=C1)F	0.0	2.3
119831	28231-03-0	CC1CCC2C13CC(C2(C)C)C(=C)C(C3)O	20.2	3.6
33029	25506-06-3	C1=CC=C(C=C1)C2=NNC(=O)C3=NOC=C23	67.5	1.5
62478	3064-70-8	C(S(=O)(=O)C(Cl)(Cl)Cl)(Cl)(Cl)Cl	42.5	3.5
560105	1320-15-6	CC(C)CCCCCOC(=O)CCCOC1=C(C=C(C=C1)Cl)Cl	35.5	7.0
33625	26844-12-2	C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43	48.1	4.1
219078	175481-36-4	CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1	67.4	0.3
39562	50264-69-2	C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O	55.1	4.3
17161	2460-77-7	CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C	34.1	3.4
104609	53786-45-1	CCOC(=O)N1CCC(CC1)NC2=C(C=C(C=C2)Cl)N	67.6	2.7
36606	33820-53-0	CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(C)C)[N+](=O)[O-]	94.9	5.6
7555	101-37-1	C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C	66.4	2.8
5282183	85801-02-1	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C	57.5	9.8
21732	5566-34-7	C1C2C(CC1(Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	0.0	5.7
17885	2872-48-2	COC1=C(C2=C(C(=C1)N)C(=O)C3=CC=CC=C3C2=O)N	95.4	2.6
78452	4724-48-5	CCCCCCCCP(=O)(O)O	57.5	1.8
12815	706-79-6	C1(=C(C(C(C1(F)F)(F)F)(F)F)Cl)Cl	0.0	3.1
19601	3775-90-4	CC(=C)C(=O)OCCNC(C)(C)C	38.3	1.7
77499	3891-07-4	C1=CC=C2C(=C1)C(=O)N(C2=O)CCO	57.6	0.8
16218600	1338-41-6	CCCCCCCCCCCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O	96.2	6.9
3071618	137927-78-7	CC(=NNC(=O)CSC1=NC=NC(=C1)OC2=CC=C(C=C2)F)C	102.0	2.6
72700	2760-98-7	C1=CC(=CC(=C1)C(=O)NN)C(=O)NN	110.0	-0.9
638024	94-62-2	C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3	38.8	3.5
7514	100-60-7	CNC1CCCCC1	12.0	1.6
81882	7397-62-8	CCCCOC(=O)CO	46.5	0.7
7147	93-54-9	CCC(C1=CC=CC=C1)O	20.2	1.9
85370	16339-21-2	CC(=O)CC(C)(C)N(C)N=O	49.7	0.5
78860	5187-23-5	CCC1(COCOC1)CO	38.7	0.1
992	87-86-5	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O	20.2	5.1
9941647	11121-32-7	CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(CC(CC(CC(=O)CC(CC(=O)OC1C(C)CCC(CC(=O)C3=CC=C(C=C3)NC)O)O)O)O)O)O)O)O)C(=O)OC)OC4C(C(C(C(O4)C)O)N)O	355.0	3.6
8686	136-25-4	CC(C(=O)OCCOC1=CC(=C(C=C1Cl)Cl)Cl)(Cl)Cl	35.5	5.2
2170	14028-44-5	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl	36.9	2.6
8137	111-80-8	CCCCCCC#CC(=O)OC	26.3	3.7
218512	40718-29-4	C1=CC=C(C=C1)C(C2=CC=CC=C2)NCC(=O)O	49.3	0.3
7204	94-74-6	CC1=C(C=CC(=C1)Cl)OCC(=O)O	46.5	2.6
9862	110-93-0	CC(=CCCC(=O)C)C	17.1	1.9
9832912	113507-06-5	CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C	116.0	4.3
134640	7319-47-3	CCC(C)C1=CN=C2C(=C1C)C(=NC(=N2)N)N	90.7	2.1
10646	84-08-2	C1CCN(C1)CCN2C3=CC=CC=C3SC4=CC=CC=C42	31.8	4.7
6636	80-38-6	C1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)Cl	51.8	3.7
15942715	41767-29-7	CCCCOC(=O)C(=O)C1C(CC2C1(CC(C3C2CC(C4=CC(=O)C=CC34C)F)O)C)C	80.7	4.3
40816	2314-09-2	CCCCOC(=O)C1(C2=CC=CC=C2C3=CC=CC=C31)O	46.5	3.6
3041981	58902-64-0	CCCCC1(C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)CCC4=CC=CC=N4	53.5	5.5
6966	89-32-7	C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O	86.7	0.7
5311067	382-67-2	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C	74.6	2.3
7255	95-74-9	CC1=C(C=C(C=C1)N)Cl	26.0	2.9
8141	111-84-2	CCCCCCCCC	0.0	4.5
7926	108-35-0	CCOP(=S)(OCC)OC1=NNC(=C1)C	88.5	2.8
36796	34341-24-7	CCN(CC)CCN1C(=O)C(NC1=O)(C2=CC=CC=C2)C3=CC=CC=C3	52.7	3.1
62493	3282-30-2	CC(C)(C)C(=O)Cl	17.1	2.2
5284499	143-28-2	CCCCCCCCC=CCCCCCCCCO	20.2	7.4
84101	13915-60-1	CCOC(=S)C1=CC=C(C=C1)Cl	41.3	3.4
162654	51861-34-8	CCCCN(CCCC)C(=O)SCC1=CC=CC=C1	45.6	4.7
67271	135-57-9	C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2SSC3=CC=CC=C3NC(=O)C4=CC=CC=C4	109.0	5.7
5360232	7007-96-7	CC=CC=NNC(=O)C1=CC=NC=C1	54.4	0.9
67058	119-10-8	CC1=CC(=C(C=C1)OC)[N+](=O)[O-]	55.1	2.1
5702746	24140-30-5	CCC(C)COC(=O)C=CC1=CC=C(C=C1)N=CC2=CC=C(C=C2)OC	47.9	5.2
3045373	91893-64-0	CN(C)S(=O)(=O)CCCCNC(=O)N(CCCl)N=O	108.0	0.9
6321424	71827-03-7	CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C	170.0	4.1
139743	14352-61-5	COC(=O)CC1CCCCC1	26.3	2.8
6435882	61444-38-0	CCC=CCCOC(=O)CC=CCC	26.3	3.3
93335	61931-82-6	CC(C)CC(C)N(C1=CC=CC=C1)C2=CC=C(C=C2)N	29.3	5.0
110608	64354-92-3	CC(C)CCCCCCCOCCC#N	33.0	4.0
8489	121-73-3	C1=CC(=CC(=C1)Cl)[N+](=O)[O-]	45.8	2.5
5037	3615-24-5	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(C)C	35.6	1.6
8561	131-18-0	CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC	52.6	5.8
3043682	55994-28-0	C1=CC=C2C(=C1)C(=O)C(C2=O)C3=C(C=CC=C3Cl)Cl	34.1	4.2
29354	18979-55-0	CCCCCCOC1=CC=C(C=C1)O	29.5	4.0
27606	15992-13-9	C1=CC=C2C(=C1)C(=CN2C(=O)C3=CC=C(C=C3)Cl)CC4=NNN=N4	76.5	3.7
2723790	62-56-6	C(=S)(N)N	84.1	-0.8
91273	87760-53-0	C1CC2CC1C3C2C(=O)N(C3=O)CCCCN4CCN(CC4)C5=NC=CC=N5	69.6	1.9
29863	19937-59-8	CN(C)C(=O)NC1=CC(=C(C=C1)OC)Cl	41.6	1.6
79900	5825-79-6	CC1=CC(=CC(=C1Cl)C)OCCO	29.5	2.6
18635	3268-49-3	CSCCC=O	42.4	0.3
103022	3489-84-7	CCC(COC1=CC=C(C=C1)C(C)(C)CC)OS(=O)OCC#C	64.0	5.1
3069787	85162-11-4	C1=CC(=CC=C1C2=NC(=C(O2)C3=CSC=C3)CC(=O)O)F	91.6	2.9
135491830	74051-80-2	CCCC(=NOCC)C1=C(CC(CC1=O)CC(C)SCC)O	84.2	3.6
9875401	366789-02-8	C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl	116.0	2.5
3079277	125055-55-2	CCCCCNC(=O)C1=CN=C2C=CC=C(N2C1=O)C	61.8	2.4
7436	99-45-6	CNCC(=O)C1=CC(=C(C=C1)O)O	69.6	0.5
8362	118-56-9	CC1CC(CC(C1)(C)C)OC(=O)C2=CC=CC=C2O	46.5	5.0
20531833	80303-93-1	C(CSSC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O	70.8	4.9
6813	85-52-9	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O	54.4	2.3
73917	1501-27-5	COC(=O)CCCC(=O)O	63.6	0.3
3074929	168152-92-9	CCCC1=C(C=NC2=NC=NN12)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5	97.5	4.0
75557	2449-05-0	C1=CC=C(C=C1)COC(=O)N=NC(=O)OCC2=CC=CC=C2	77.3	3.9
85542	16673-34-0	COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N	107.0	2.4
1004	7664-38-2	OP(=O)(O)O	77.8	-2.1
61346	4312-99-6	CCCCCC(=O)C=C	17.1	2.4
8900	142-82-5	CCCCCCC	0.0	4.4
25887	13338-63-1	COC1=CC(=CC(=C1OC)OC)CC#N	51.5	1.1
4021	89-25-8	CC1=NN(C(=O)C1)C2=CC=CC=C2	32.7	1.3
54676478	84088-42-6	CN1C2=CC=CC=C2C(=C(C1=O)C(=O)N(C)C3=CC=CC=C3)O	60.9	2.7
30562	21270-00-8	CCCCC(CC)COC(CBr)C1=CC=CC=C1	9.2	5.5
41496	55636-92-5	CC(C)NCC(COC1=CC=CC2=C1OC(=C2)C(C)O)O	74.9	1.6
6433475	6187-24-2	CCCC=C(CC)[N+](=O)[O-]	45.8	2.7
17587	2680-03-7	CN(C)C(=O)C=C	20.3	0.3
11463	586-62-9	CC1=CCC(=C(C)C)CC1	0.0	2.8
8835	141-16-2	CCCC(=O)OCCC(C)CCC=C(C)C	26.3	4.6
8515	129-56-6	C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O	45.8	2.7
9588471	106358-90-1	CC1C(=NOC(=O)NC)SCCO1	85.2	0.4
6936	88-53-9	CC1=CC(=C(C=C1Cl)S(=O)(=O)O)N	88.8	1.5
7410	98-86-2	CC(=O)C1=CC=CC=C1	17.1	1.6
114796	35691-25-9	CP(=O)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-]	72.1	2.6
80037	5930-28-9	C1=C(C=C(C(=C1Cl)O)Cl)N	46.3	2.4
7788	106-11-6	CCCCCCCCCCCCCCCCCC(=O)OCCOCCO	55.8	7.7
4767	26002-80-2	CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C	35.5	6.2
11899	611-06-3	C1=CC(=C(C=C1Cl)Cl)[N+](=O)[O-]	45.8	3.1
3369	3900-31-0	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F	32.7	2.8
18814	3385-21-5	C1CC(CC(C1)N)N	52.0	-0.3
53665	77439-76-0	C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O	46.5	1.2
2130	768-94-5	C1C2CC3CC1CC(C2)(C3)N	26.0	2.4
15278	1563-38-8	CC1(CC2=C(O1)C(=CC=C2)O)C	29.5	2.1
2723699	96-53-7	C1CSC(=S)N1	69.4	0.9
5362119	83915-83-7	C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O	133.0	-2.9
60870	141200-24-0	CC1=C(N=C(O1)C2=CC=CC=C2)CCC(=O)C3=CC=C(C=C3)CC4C(=O)NC(=O)S4	115.0	4.1
42077	56973-16-1	C1=CC(=O)N(C1=O)C2=C(C(=C(C(=C2F)F)F)N3C(=O)C=CC3=O)F	74.8	0.6
5327	57-68-1	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C	106.0	0.3
161929	36727-29-4	CC(CC(=O)Cl)CC(C)(C)C	17.1	3.8
8706	136-95-8	C1=CC=C2C(=C1)N=C(S2)N	67.2	1.9
28777	17796-82-6	C1CCC(CC1)SN2C(=O)C3=CC=CC=C3C2=O	62.7	2.7
9064	154-23-4	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	110.0	0.4
87241	17688-68-5	C1CS(=O)(=O)CCN1C2=CC=CC=C2	45.8	0.9
3062260	80472-85-1	CCN(C1CCCCC1)C(=O)CCCCC2=NN=NN2C3=CC=CC=C3	63.9	3.8
14503	1192-52-5	C1(=C(SSC1=O)Cl)Cl	67.7	2.2
135565674	211915-06-9	CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4	152.0	5.3
7095	92-52-4	C1=CC=C(C=C1)C2=CC=CC=C2	0.0	4.0
67535	304-17-6	CC(C)N1C(=O)C2=CC=CC=C2C1=O	37.4	2.1
1533	695-34-1	CC1=CC(=NC=C1)N	38.9	0.6
62787	2801-68-5	CC(CC1=C(C=CC(=C1)OC)OC)N	44.5	1.7
1135	65-71-4	CC1=CNC(=O)NC1=O	58.2	-0.6
62440	2224-44-4	CCC(CN1CCOCC1)[N+](=O)[O-]	58.3	0.6
2377	90293-01-9	CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2	21.3	4.1
7933	108-43-0	C1=CC(=CC(=C1)Cl)O	20.2	2.5
3079293	125055-71-2	CCCNC(=O)C1=CN=C2C(=CC=CN2C1=O)C	61.8	1.7
10607	518-28-5	COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O	92.7	2.0
31335	126-06-7	CC1(C(=O)N(C(=O)N1Cl)Br)C	40.6	1.3
65575	77-53-2	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O	20.2	3.9
65655	87344-06-7	CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)NCC(=O)OC3=CC=CC=C3OC	86.6	4.0
23342	6903-79-3	CN(CCOP(=O)(O)O)C(=N)N	120.0	-2.5
44192644	1141487-54-8	CC(CCCC1CCCCC1)CO	20.2	4.5
6344	75-09-2	C(Cl)Cl	0.0	1.5
5370103	70172-00-8	CC1=CCCC(C1C=C(C)C(C)O)(C)C	20.2	3.6
5282203	69956-77-0	CC(C1=CC=C(C=C1)C=C2CCCCC2=O)C(=O)O	54.4	3.0
60988	98-44-2	C1=CC(=C(C=C1S(=O)(=O)O)N)S(=O)(=O)O	152.0	-0.2
26715	14491-59-9	CC1=CC=CC=C1OC2=NN=CC=C2	35.0	2.1
68526	589-10-6	C1=CC=C(C=C1)OCCBr	9.2	2.6
213653	26859-72-3	C1CN2C(=N1)C3=CC=CC=C3C2(C4=CC=C(C=C4)F)O	35.8	1.7
70837	1143-72-2	C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O	77.8	2.8
2799	37693-01-9	CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl	20.2	8.1
11086	551-93-9	CC(=O)C1=CC=CC=C1N	43.1	1.6
8462	121-17-5	C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])Cl	45.8	2.8
89201	19721-74-5	C(C(S(=O)(=O)C(CCl)Cl)Cl)Cl	42.5	2.3
518659	127-90-2	C(C(C(Cl)(Cl)Cl)Cl)OCC(C(Cl)(Cl)Cl)Cl	9.2	5.1
94582	57910-39-1	CC(C)(C)N=NC(C)(C)O	45.0	1.2
3078022	136687-74-6	C1=CC=C(C=C1)C2C(C(=O)N2C3=CC=CC=C3C(=O)O)Cl	57.6	2.8
6914	88-06-2	C1=C(C=C(C(=C1Cl)O)Cl)Cl	20.2	3.7
132916	150408-73-4	C1CN2C(=O)C(N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5	77.6	4.3
31521	22791-26-0	CC1(OC2=C(O1)C(=CC=C2)OC(=O)NCC=C)C	56.8	2.3
3055292	72239-31-7	C1CSC(=N1)NCC2=CC=C(C=C2)Br	49.7	2.4
38234	39196-10-6	CC(C)(C)C(=NO)CS(=O)C	68.9	0.9
3465817	2871-01-4	C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO	104.0	0.5
7193	94-46-2	CC(C)CCOC(=O)C1=CC=CC=C1	26.3	3.8
443157	5949-05-3	CC(CCC=C(C)C)CC=O	17.1	3.0
8053	110-46-3	CC(C)CCON=O	38.7	1.7
1486	94-75-7	C1=CC(=C(C=C1Cl)Cl)OCC(=O)O	46.5	2.8
9578503	19843-73-3	C1CCC(=NO)C(C1)N=[N+]=[N-]	47.0	2.2
215459	35712-88-0	CC[N+]1=C2CCCC(N2C(=O)C(=C1)C(=O)OCC)C	49.6	0.8
61226	869-29-4	CC(=O)OC(C=C)OC(=O)C	52.6	0.8
31060	22204-91-7	CN1CCC(CC1)OC(=O)C(OC2=CC=C(C=C2)Cl)OC3=CC=C(C=C3)Cl	48.0	5.5
21833	5621-86-3	CNC1=C(C=C(C=C1)Cl)C(=O)C2=CC=CC=C2Cl	29.1	5.1
6681	81-49-2	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3Br)Br)N	60.2	4.1
14939	17293-03-7	C1=C(C=C(C(=C1Cl)CCl)Cl)Cl	0.0	4.2
3352	120068-37-3	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F	104.0	4.5
13769	968-93-4	CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C	43.4	3.0
31413	128-67-6	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)C(=O)O)[N+](=O)[O-]	117.0	2.2
30391	20954-12-5	CCCCOC(=O)C1=CC=C(C=C1)N2C3=CC=CC=C3C(=N2)OCCN(C)C	56.6	4.7
736186	537-73-5	COC1=C(C=C(C=C1)C=CC(=O)O)O	66.8	1.5
119369	137975-06-5	CC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)N3CCCC(C4=CC=CC=C43)N(C)C	52.7	4.5
5282136	118288-08-7	C1CCN(CC1)CC2=CC(=NC=C2)OCC=CCNC(=O)CS(=O)CC3=CC=CO3	104.0	1.4
85979	16251-77-7	CC(CC=O)C1=CC=CC=C1	17.1	1.9
2734201	40018-25-5	C1=CC=C(C(=C1)C(=O)CC#N)Cl	40.9	2.0
31677	23184-66-9	CCCCOCN(C1=C(C=CC=C1CC)CC)C(=O)CCl	29.5	4.5
443162	10482-56-1	CC1=CCC(CC1)C(C)(C)O	20.2	1.8
12598	653-03-2	CCCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C	52.1	5.0
92251	26842-43-3	CC(C)CC(C)(C#N)N	49.8	1.0
60825	134678-17-4	C1C(OC(S1)CO)N2C=CC(=NC2=O)N	113.0	-0.9
37767	37517-26-3	CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C	104.0	11.6
68911	71963-77-4	CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C	46.2	3.1
7641	103-23-1	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC	52.6	6.8
85763	14697-46-2	C(CC(CO)O)CO	60.7	-1.0
6996	89-98-5	C1=CC=C(C(=C1)C=O)Cl	17.1	2.3
4581	104-14-3	C1=CC(=CC=C1C(CN)O)O	66.5	-1.1
30709	21609-90-5	COP(=S)(C1=CC=CC=C1)OC2=CC(=C(C=C2Cl)Br)Cl	50.6	6.3
7475	100-01-6	C1=CC(=CC=C1N)[N+](=O)[O-]	71.8	1.4
16449	2113-57-7	C1=CC=C(C=C1)C2=CC(=CC=C2)Br	0.0	4.6
712441	67914-60-7	CC(=O)N1CCN(CC1)C2=CC=C(C=C2)O	43.8	1.0
31263	123-62-6	CCC(=O)OC(=O)CC	43.4	0.8
10046567	50673-97-7	CC(C)CCCC(C)C1CC(=O)C2=C3CCC4CC(CCC4(C3CCC12C)C)O	37.3	7.1
161655	30087-33-3	CC(C1=CC2=C(C=C1)OC3=CC=CC=C3C2=O)C(=O)O	63.6	3.4
6579	79-06-1	C=CC(=O)N	43.1	-0.7
7525	100-74-3	CCN1CCOCC1	12.5	0.0
17680	2752-71-8	CC1=C(C=C(C=C1)C(C)C)OC(=O)NC	38.3	2.8
15630	1747-60-0	COC1=CC2=C(C=C1)N=C(S2)N	76.4	2.4
21209	5131-60-2	C1=CC(=C(C=C1N)N)Cl	52.0	0.8
12344	628-46-6	CC(C)CCCC(=O)O	37.3	2.2
51683	72741-87-8	C1CC(C2C(C(CN2C1)O)O)O	63.9	-1.3
7430	99-30-9	C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-]	71.8	2.9
199470	4232-84-2	C1=CC(=CC=C1N)OP(=O)(OC2=CC=C(C=C2)N)OC3=CC=C(C=C3)N	123.0	2.5
44604123	1003859-14-0	C1=CC(=NC=C1CNCC(F)F)Cl	24.9	2.0
2756017	203866-13-1	CC(C)(C)OC(=O)N1CC(CC1C(=O)O)F	66.8	1.3
29872	19952-47-7	C1=CC2=C(C(=C1)Cl)N=C(S2)N	67.2	2.7
14871	142-18-7	CCCCCCCCCCCC(=O)OCC(CO)O	66.8	4.2
14586	1210-12-4	C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C#N	23.8	4.3
72656	5424-01-1	C1=CN=C(C(=N1)C(=O)O)N	89.1	-0.2
10313	495-18-1	C1=CC=C(C=C1)C(=O)NO	49.3	0.3
3326	22881-35-2	CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3	26.8	5.0
55968	89427-46-3	COC1=C(C(=C(C2=C1NC(=N2)C(F)(F)F)OC)Cl)Cl	47.1	3.2
3039697	51068-60-1	CNS(=O)(=O)OCC(=O)N1CCCCCC1	84.1	0.1
160733	4110-66-1	C1CN1P(=O)(NC(=O)C2=CC=CC=C2)N3CC3	52.2	0.9
91984	56038-89-2	CCC(CC)NC1=CC(=C(C=C1)C)C	12.0	5.0
156904	78193-97-2	CCCOC1=CC=CC(=C1N(COCC)C(=O)CCl)C	38.8	3.4
3047327	63233-56-7	CCCCCCCCCCCCCC(=O)NC1=CC(=C(C=C1)CC2=CC=CC=N2)[N+](=O)[O-]	87.8	8.1
3884	84-79-7	CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C	54.4	2.8
74500	1778-08-1	CN(C)C(=O)C1=CC=CC=C1O	40.5	0.4
2712	58-25-3	CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O	48.2	2.4
8640	134-32-7	C1=CC=C2C(=C1)C=CC=C2N	26.0	2.2
60924	147086-81-5	CC1CC(C2=C(S1(=O)=O)SC=C2)O	91.0	0.9
71819	3576-64-5	C1=CC(=CC=C1CN(CCO)C(=O)C(Cl)Cl)OC2=CC=C(C=C2)[N+](=O)[O-]	95.6	3.2
5367460	1191-41-9	CCC=CCC=CCC=CCCCCCCCC(=O)OCC	26.3	6.6
96387	40807-61-2	C1CNCCC1(C2=CC=CC=C2)O	32.3	1.0
12777	698-76-0	CCCC1CCCC(=O)O1	26.3	1.9
135424354	23947-60-6	CCCCC1=C(N=C(NC1=O)NCC)C	53.5	1.7
82170	6706-59-8	C(C(C(C(C(CO)O)O)O)O)O	121.0	-3.1
8222	112-95-8	CCCCCCCCCCCCCCCCCCCC	0.0	10.4
13254	831-82-3	C1=CC=C(C=C1)OC2=CC=C(C=C2)O	29.5	3.4
292429	7128-64-5	CC(C)(C)C1=CC2=C(C=C1)OC(=N2)C3=CC=C(S3)C4=NC5=C(O4)C=CC(=C5)C(C)(C)C	80.3	8.0
60823	134523-00-5	CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4	112.0	5.0
77391	3772-23-4	CC1=CC(=C(C(=C1)CCCCC2=CC(=CC(=C2O)C)C)O)C	40.5	6.0
8630	133-90-4	C1=C(C=C(C(=C1C(=O)O)Cl)N)Cl	63.3	2.0
