	1
97-74-5	1
112-38-9	1
2387-59-9	0
71-63-6	1
303-98-0	1
56-29-1	0
59-51-8	0
40391-99-9	0
302-40-9	0
71617-10-2	0
1215-83-4	0
1464-42-2	0
846-49-1	0
846-50-4	1
17598-65-1	1
59-23-4	0
339-43-5	0
943-89-5	0
82-99-5	0
94-23-5	0
24237-54-5	1
68367-52-2	1
111406-87-2	0
40180-04-9	0
184475-35-2	1
220127-57-1	1
134523-03-8	1
128794-94-5	1
157810-81-6	1
161814-49-9	0
101-93-9	0
25953-19-9	0
28981-97-7	0
NOCAS_46063	0
640-68-6	0
133-10-8	0
458-24-2	0
53-34-9	0
25046-79-1	0
87-10-5	1
86-75-9	1
93-60-7	0
6740-88-1	0
64506-49-6	1
27262-48-2	0
747-36-4	0
15879-93-3	0
62-33-9	0
495-69-2	0
6153-64-6	0
1501-84-4	0
50-06-6	0
830-89-7	0
171599-83-0	0
432-60-0	1
22664-55-7	0
56-54-2	0
95-33-0	1
53-36-1	1
552-22-7	0
1323-39-3	1
456-59-7	0
22131-79-9	0
632-69-9	1
129722-12-9	1
101828-21-1	0
91832-40-5	0
121123-17-9	0
69655-05-6	0
138729-47-2	0
71125-38-7	1
82752-99-6	1
117976-90-6	1
124937-51-5	1
124832-27-5	0
118072-93-8	0
15686-71-2	0
71-73-8	0
98206-09-8	0
109826-26-8	1
103420-77-5	1
161605-73-8	0
107724-20-9	1
26305-03-3	0
539-15-1	0
551-16-6	0
63968-64-9	1
115-37-7	0
28888-44-0	0
20004-62-0	1
27661-27-4	0
120824-08-0	0
89667-40-3	0
120210-48-2	1
3771-19-5	0
1338-39-2	0
21626-89-1	0
859-07-4	0
17692-71-6	0
5663-71-8	0
30103-44-7	0
104-22-3	0
3374-22-9	0
84-12-8	1
7007-96-7	0
58338-59-3	0
14149-43-0	0
515-57-1	0
2424-71-7	0
32295-18-4	0
42879-47-0	0
24678-13-5	0
17737-65-4	1
551-11-1	0
40666-16-8	0
2058-52-8	1
67121-76-0	1
34031-32-8	1
69056-38-8	0
70989-04-7	0
315-80-0	0
92623-83-1	1
84504-69-8	0
82956-11-4	1
18046-21-4	1
17289-49-5	0
577-91-3	0
115436-72-1	0
70374-39-9	0
68-90-6	1
15302-18-8	0
547-91-1	0
31386-25-1	1
744-80-9	1
15687-23-7	1
3689-76-7	1
65733-18-8	1
83471-41-4	0
3030-53-3	0
58-46-8	0
151-06-4	0
3703-79-5	0
5843-53-8	0
17279-39-9	0
64204-55-3	0
71653-63-9	1
1213-06-5	0
2210-77-7	0
53808-88-1	0
18493-30-6	1
671-95-4	0
496-67-3	0
64379-93-7	0
963-39-3	0
15686-72-3	1
17969-20-9	0
18699-02-0	0
1553-60-2	0
42779-82-8	0
952-54-5	0
14062-23-8	0
54504-70-0	1
147-58-0	0
69542-93-4	0
71475-35-9	0
50528-97-7	0
2423-66-7	0
2165-19-7	0
2201-39-0	1
21500-98-1	0
555-44-2	0
506-26-3	0
1499-55-4	0
42553-65-1	0
14051-33-3	0
886-08-8	0
30223-48-4	1
33414-36-7	0
60-89-9	1
61570-90-9	1
152-47-6	0
33414-30-1	1
90-54-0	0
95-27-2	0
800-22-6	1
3867-15-0	0
2779-55-7	0
2856-81-7	0
10447-39-9	0
16543-10-5	0
79455-30-4	0
537-17-7	0
16852-81-6	0
1093-58-9	0
17411-19-7	0
534-84-9	0
35619-65-9	0
652-67-5	0
1234-30-6	0
5721-91-5	0
58186-27-9	1
121808-62-6	0
5355-16-8	0
113617-63-3	0
51037-30-0	0
17575-20-1	1
10023-54-8	1
151319-34-5	0
41717-30-0	0
112885-42-4	0
75963-52-9	1
51322-75-9	0
89778-27-8	1
2529-45-5	1
957-56-2	0
50673-97-7	0
549-68-8	1
106941-25-7	0
1824-58-4	0
109543-76-2	0
22204-91-7	0
80-92-2	0
2919-66-6	1
7654-03-7	1
321-55-1	0
17692-39-6	1
94-10-0	1
NOCAS_46224	0
82-66-6	0
844-26-8	0
16915-70-1	1
22662-39-1	1
1146-99-2	0
36141-82-9	0
38103-61-6	0
5711-40-0	1
4015-32-1	0
541-79-7	0
101-71-3	1
15599-52-7	1
573-20-6	1
2607-31-0	1
102-05-6	0
126-22-7	0
1707-15-9	0
3562-99-0	0
66-75-1	0
7617-74-5	0
1641-17-4	1
526-18-1	0
116-02-9	0
502-55-6	0
1823-31-0	0
145-94-8	0
1146-98-1	0
23597-82-2	0
24353-88-6	0
5879-67-4	0
13946-02-6	0
7492-29-7	0
485-34-7	0
5684-90-2	0
84-08-2	1
5591-49-1	1
893-01-6	0
103-31-1	0
2623-33-8	0
350-12-9	0
3321-80-0	0
2829-19-8	0
2687-91-4	0
98-79-3	0
61914-43-0	0
126-14-7	0
24305-27-9	0
154-87-0	0
119-13-1	0
5466-77-3	0
59-06-3	0
96-84-4	0
153-18-4	1
52-85-7	1
84379-13-5	0
2898-13-7	1
66644-81-3	1
59-39-2	0
109-06-8	0
18109-81-4	0
24886-52-0	0
2759-71-9	1
495-84-1	1
664-95-9	0
6402-23-9	1
3563-14-2	0
3567-08-6	0
120-47-8	0
3810-35-3	1
93-47-0	0
26130-02-9	1
82168-26-1	0
76894-77-4	0
177036-94-1	0
21221-18-1	1
4008-48-4	1
33743-96-3	1
94-19-9	0
127-77-5	0
10001-13-5	0
15574-49-9	0
37883-00-4	0
551-27-9	0
13410-86-1	0
3563-01-7	0
968-63-8	0
37561-27-6	1
96-62-8	0
6319-06-8	0
94-12-2	0
94-14-4	1
19368-18-4	0
19356-17-3	1
32222-06-3	1
55721-11-4	1
7492-30-0	1
10417-94-4	0
6217-54-5	0
143482-60-4	1
72318-55-9	0
NOCAS_47817	1
1216920-18-1	1
50-76-0	1
102-98-7	1
51773-92-3	1
2391-03-9	0
132203-70-4	1
33178-86-8	0
53772-82-0	1
100678-32-8	0
152-02-3	1
465-65-6	0
16590-41-3	0
20594-83-6	0
97466-90-5	0
59122-46-2	1
145-13-1	1
55079-83-9	0
14663-23-1	1
102992-93-8	1
302-27-2	0
37148-27-9	0
62658-63-3	1
159701-44-7	1
101626-70-4	0
17479-19-5	1
60-79-7	0
64795-35-3	0
15574-96-6	1
93302-47-7	0
96744-75-1	0
467-15-2	0
590-63-6	0
51-83-2	0
115-79-7	0
149-64-4	0
69-27-2	0
15500-66-0	0
71827-03-7	0
541-22-0	0
60-26-4	0
114-80-7	1
57-24-9	0
57-94-3	0
65-29-2	0
69014-14-8	0
128-20-1	0
6493-06-7	0
56-65-5	0
145-63-1	0
61-19-8	0
5959-95-5	0
319-78-8	0
328-38-1	0
407-41-0	0
829-74-3	0
482-89-3	0
25162-00-9	0
75747-14-7	1
142880-36-2	1
104987-11-3	1
72741-87-8	0
26095-59-0	1
115103-85-0	1
25316-40-9	1
35891-70-4	0
35834-26-5	1
14897-39-3	1
7059-24-7	1
23110-15-8	1
57-22-7	1
138-86-3	0
470-90-6	1
57837-19-1	0
58594-72-2	1
28434-01-7	0
112-27-6	0
66215-27-8	0
3383-96-8	1
87674-68-8	1
89-25-8	0
101-20-2	1
52-51-7	1
110-27-0	0
527-07-1	0
107-46-0	0
2893-78-9	0
140-66-9	1
142-91-6	0
3147-75-9	1
577-11-7	1
94-18-8	1
1843-05-6	0
55720-26-8	0
7080-50-4	0
69-65-8	0
57-50-1	0
315-22-0	0
23696-28-8	0
57-09-0	1
6152-33-6	1
126-92-1	0
112-90-3	0
1338-41-6	0
51-48-9	0
102-60-3	0
87-90-1	0
57-10-3	0
25155-30-0	0
33069-62-4	1
770-35-4	0
420-04-2	0
60719-84-8	0
566-48-3	0
39236-46-9	0
78415-72-2	0
17230-88-5	1
378-44-9	0
4419-39-0	0
15708-41-5	0
8000-41-7	0
97322-87-7	1
74772-77-3	1
52214-84-3	0
72963-72-5	0
1954-79-6	0
94746-78-8	0
31386-24-0	1
579-23-7	1
81-11-8	0
490-55-1	0
59160-29-1	0
515-64-0	1
3696-28-4	1
140-40-9	1
555-90-8	0
60668-24-8	0
1038-59-1	0
1027-87-8	0
43119-47-7	0
532-40-1	0
67-28-7	1
3270-71-1	1
15518-87-3	1
5541-67-3	1
6236-05-1	1
32462-30-9	0
6961-46-2	0
481-85-6	1
553-17-3	1
13898-58-3	0
539-21-9	1
115-24-2	0
87940-60-1	0
33996-33-7	0
76-20-0	0
72-19-5	0
1910-68-5	1
140608-64-6	0
54-30-8	0
56-87-1	0
142-18-7	0
123-94-4	0
58473-74-8	0
56-89-3	0
1693-37-4	0
692-13-7	1
98-67-9	1
1707-14-8	0
23651-95-8	0
49864-70-2	0
1223-36-5	0
547-44-4	0
57460-41-0	0
101477-54-7	1
101530-10-3	1
103890-78-4	1
106560-14-9	0
107753-78-6	1
112398-08-0	0
115256-11-6	0
118288-08-7	0
120410-24-4	0
120638-55-3	0
123318-82-1	1
12650-69-0	0
130929-57-6	1
13189-98-5	0
144143-96-4	0
2765-97-1	0
136434-34-9	1
136470-78-5	0
139110-80-8	0
141505-33-1	1
142217-69-4	0
143491-57-0	0
146939-27-7	1
147526-32-7	1
129273-38-7	1
151767-02-1	0
154361-50-9	0
164656-23-9	0
168273-06-1	1
17617-23-1	0
183321-74-6	1
192725-17-0	1
2011-67-8	0
202409-33-4	0
2998-57-4	1
30748-29-9	1
32887-01-7	0
27724-96-5	0
1310709-74-0	1
1248-42-6	0
67814-76-0	0
59937-28-9	0
673-31-4	0
67392-87-4	1
71963-77-4	0
74863-84-6	0
82034-46-6	0
83480-29-9	0
98717-15-8	0
88495-63-0	1
88678-31-3	1
90274-24-1	0
90729-43-4	1
93957-55-2	1
99464-64-9	1
14368-24-2	0
41748-47-4	0
34214-51-2	0
68786-66-3	1
60282-87-3	1
479-92-5	0
82159-09-9	1
123447-62-1	0
106685-40-9	1
112887-68-0	0
120511-73-1	0
124858-35-1	0
125-60-0	0
137234-62-9	0
140462-76-6	0
142340-99-6	1
143201-11-0	1
145821-59-6	0
165800-03-3	0
26750-81-2	0
39809-25-1	0
341031-54-7	1
5630-53-5	1
63675-72-9	1
80573-04-2	1
124508-66-3	0
130636-43-0	0
1327-53-3	1
24584-09-6	0
56124-62-0	1
63547-13-7	0
2624-43-3	1
74697-28-2	1
55028-72-3	0
79094-20-5	0
108929-04-0	0
38398-32-2	1
38821-52-2	1
2448-68-2	0
106308-44-5	0
78-41-1	1
22345-47-7	0
182959-33-7	1
125317-39-7	1
266359-83-5	0
33996-58-6	0
306-94-5	0
93-54-9	0
96-27-5	0
111-01-3	0
2695-37-6	0
140-10-3	0
915-67-3	1
333-36-8	0
98-98-6	0
4023-02-3	0
5892-10-4	0
100-88-9	0
66108-95-0	0
18598-63-5	0
632-99-5	1
15301-40-3	0
886-86-2	0
16919-19-0	0
611-71-2	0
143-27-1	0
77-75-8	0
59-26-7	0
477-30-5	1
108-16-7	0
2174-64-3	0
614-18-6	0
142-03-0	0
868-59-7	0
2390-68-3	1
60812-23-9	1
1509-34-8	0
586-98-1	1
4044-65-9	0
85-83-6	1
1188-37-0	0
543-82-8	0
34592-47-7	0
2353-33-5	0
1304-76-3	0
104-54-1	0
5794-04-7	0
5743-49-7	0
1114-34-7	0
940-69-2	0
94-44-0	0
2398-81-4	0
50-27-1	1
27668-52-6	0
886-38-4	1
17372-87-1	1
77-58-7	1
3731-52-0	0
124-03-8	1
1119-97-7	1
355-42-0	0
103-41-3	0
6284-40-8	0
34273-10-4	0
297-76-7	1
1083-57-4	0
10049-83-9	0
3505-38-2	0
7199-29-3	0
502-54-5	0
6233-83-6	0
152-43-2	1
67-96-9	0
150824-47-8	0
38083-17-9	0
116-52-9	0
1715-40-8	1
86811-58-7	0
643-79-8	1
38609-97-1	0
1263-89-4	0
615-74-7	0
5333-42-6	0
122-40-7	0
423-55-2	0
587-90-6	1
79467-22-4	0
53636-17-2	0
3412-76-8	0
2438-05-3	0
84392-17-6	1
111-81-9	0
140-39-6	0
2207-75-2	0
6968-72-5	0
22994-85-0	0
98-69-1	0
140-87-4	0
305-85-1	1
109-95-5	0
2440-22-4	1
16376-36-6	0
1811-28-5	1
79-10-7	0
605-91-4	1
3087-16-9	1
3861-73-2	1
25526-93-6	0
21245-01-2	0
5232-99-5	1
3896-11-5	0
20098-14-0	0
27503-81-7	1
1315-04-4	0
2037-95-8	0
3753-81-9	0
6099-90-7	0
NOCAS_47831	0
131-48-6	0
99-26-3	0
130-95-0	0
50865-01-5	1
52508-35-7	0
905-97-5	1
223769-64-0	0
3055-99-0	1
502-65-8	0
1195-79-5	0
585-86-4	0
14882-18-9	0
41468-25-1	0
139-88-8	0
13242-44-9	1
79-21-0	0
129979-57-3	0
50-14-6	1
91296-86-5	1
115550-35-1	0
60207-31-0	1
57808-65-8	1
13171-21-6	0
38099-82-0	0
70-00-8	0
148-18-5	1
29849-82-9	0
26786-32-3	1
55750-06-6	0
15091-98-2	0
147228-81-7	1
207233-91-8	0
52432-72-1	0
69558-55-0	0
135729-62-3	1
464-45-9	0
36861-47-9	1
678-26-2	0
28523-86-6	0
13838-16-9	0
5205-82-3	0
5169-78-8	0
30652-11-0	0
125-86-0	0
61849-14-7	0
138844-81-2	0
85622-93-1	0
65899-73-2	1
61379-65-5	1
88889-14-9	0
119302-91-9	0
100299-08-9	0
75530-68-6	1
123524-52-7	1
132907-72-3	0
10405-02-4	0
10161-34-9	0
147536-97-8	1
104632-26-0	0
106463-17-6	0
56287-74-2	0
70797-11-4	0
10402-53-6	1
135-07-9	0
59-58-5	1
41826-92-0	0
54024-22-5	1
13647-35-3	1
66852-54-8	1
51410-30-1	0
30299-08-2	0
88069-67-4	0
81872-10-8	0
3286-46-2	0
16320-04-0	1
61270-78-8	0
113-07-5	0
68401-82-1	0
23255-99-4	0
77337-73-6	0
75738-58-8	0
6000-74-4	0
112965-21-6	1
13010-47-4	0
50700-72-6	0
5003-48-5	0
106861-44-3	0
51481-65-3	0
532-11-6	1
68302-57-8	0
33490-33-4	0
139481-59-7	0
134-80-5	0
17097-76-6	0
136087-85-9	0
11042-64-1	0
14344-58-2	0
5146-68-9	0
75443-99-1	1
141845-82-1	0
150399-23-8	0
90357-06-5	1
475207-59-1	1
135159-51-2	1
82186-77-4	0
191732-72-6	0
132866-11-6	1
89226-75-5	1
521-17-5	1
8004-87-3	1
61-73-4	1
2611-61-2	0
93793-83-0	1
54350-48-0	1
72-44-6	0
188627-80-7	0
137071-32-0	0
231277-92-2	1
14484-47-0	0
23182-46-9	0
148016-81-3	0
2152-34-3	0
159351-69-6	1
443913-73-3	0
965-90-2	1
55726-47-1	0
82318-06-7	1
162635-04-3	0
116649-85-5	0
153259-65-5	0
113712-98-4	0
32266-10-7	0
6981-18-6	0
78613-35-1	1
118292-40-3	1
59721-29-8	0
161967-81-3	0
122852-69-1	0
122892-31-3	0
104931-87-5	0
129101-54-8	0
127294-70-6	0
1193386-64-9	0
127045-41-4	0
202138-50-9	0
115964-29-9	1
120011-70-3	0
6933-90-0	0
120-72-9	0
83-34-1	1
516-92-7	0
55297-95-5	1
80370-57-6	0
103597-45-1	0
24346-00-7	0
666-99-9	0
1188-38-1	0
55134-13-9	1
NOCAS_46708	1
533-28-8	0
4779-94-6	0
72-57-1	1
156-54-7	0
86832-68-0	0
3493-12-7	0
79660-72-3	0
18339-16-7	0
54-96-6	0
4345-03-3	0
5486-03-3	0
78967-07-4	0
10381-75-6	0
51460-26-5	1
28772-56-7	1
298-83-9	1
63-89-8	0
3735-85-1	0
3936-02-5	0
84366-81-4	1
90494-79-4	0
58579-51-4	0
33237-74-0	1
201677-61-4	0
207844-01-7	0
102778-59-6	0
86329-79-5	0
122-18-9	1
36589-58-9	0
1641-74-3	0
118499-70-0	0
68890-66-4	1
145781-92-6	0
30123-17-2	0
136381-85-6	1
103878-83-7	0
3575-80-2	0
66898-62-2	0
61825-94-3	0
41575-94-4	0
127625-29-0	1
71119-11-4	1
81409-90-7	1
82586-52-5	0
81129-83-1	0
121288-39-9	0
3810-80-8	1
127-40-2	0
9004-61-9	0
101312-92-9	1
91421-42-0	1
136310-93-5	0
56839-43-1	1
303-42-4	0
52549-17-4	0
72496-41-4	1
638-94-8	0
71731-58-3	1
149647-78-9	1
119039-59-7	0
519-09-5	0
22316-47-8	0
29975-16-4	0
76-58-4	0
437-38-7	0
561-27-3	0
59467-96-8	0
57-29-4	0
2955-38-6	1
1972-08-3	1
28911-01-5	1
2235-90-7	1
5378-52-9	0
468-59-7	0
90162-60-0	0
2217-44-9	0
7696-12-0	1
57653-26-6	0
30685-43-9	1
76-38-0	0
99755-59-6	1
23674-86-4	1
179324-69-7	1
775304-57-9	1
226700-81-8	0
111358-88-4	1
206361-99-1	1
161735-79-1	0
133099-07-7	1
136817-59-9	1
54048-10-1	1
180468-39-7	0
175865-59-5	0
101152-94-7	0
171596-29-5	0
55-91-4	0
122111-03-9	1
101831-37-2	1
131-01-1	1
53016-31-2	1
607-90-9	0
90-49-3	0
1300-94-3	0
94055-76-2	0
120-40-1	1
364782-34-3	1
38916-34-6	0
74217-46-2	0
122841-12-7	0
6054-98-4	1
35035-05-3	1
54240-36-7	0
103766-25-2	0
NOCAS_46800	0
108612-45-9	0
41294-56-8	1
56741-95-8	0
153559-49-0	1
77469-98-8	1
7753-60-8	0
15262-86-9	0
144-68-3	1
465-39-4	1
152946-68-4	0
3599-32-4	1
118712-89-3	0
25875-51-8	1
68792-52-9	0
16816-67-4	0
18656-38-7	0
66-22-8	0
107-75-5	0
103300-74-9	0
145858-50-0	1
583-03-9	0
26675-46-7	0
9013-34-7	0
6114-21-2	0
3238-60-6	0
26172-55-4	0
89-46-3	0
25122-57-0	1
3211-76-5	0
529-96-4	0
9002-12-4	0
115956-13-3	1
1198-77-2	0
9005-27-0	0
NOCAS_46830	0
676-46-0	0
127-31-1	0
3166-62-9	0
4544-15-4	0
7262-75-1	0
2748-88-1	1
10563-70-9	1
1055-55-6	1
1221-56-3	0
7225-61-8	0
7246-21-1	0
14885-29-1	0
791-35-5	0
2740-04-7	0
121032-29-9	0
22733-60-4	1
31477-60-8	1
1225-60-1	0
1178-29-6	0
54556-98-8	1
514-73-8	1
68377-91-3	0
57470-78-7	0
18507-89-6	0
26097-80-3	1
94497-51-5	0
4564-87-8	1
23152-29-6	0
116-45-0	0
5714-00-1	1
2975-34-0	1
5412-37-3	1
26328-04-1	0
43229-80-7	1
302962-49-8	1
143322-58-1	0
152044-54-7	1
1217623-74-9	0
62288-83-9	0
777-11-7	1
6834-98-6	0
1018-71-9	1
515-49-1	0
6168-86-1	0
24279-91-2	1
510-35-0	0
623-07-4	1
4776-06-1	1
18378-89-7	1
50-11-3	0
31121-11-6	0
83314-01-6	0
7601-55-0	0
95734-82-0	0
299-75-2	0
98-72-6	0
99-00-3	0
1254-35-9	0
90-03-9	1
114899-77-3	1
33159-27-2	0
118-61-6	0
443-79-8	0
2259-85-0	0
19767-45-4	0
3804-89-5	0
71609-19-3	1
55870-64-9	0
16506-27-7	0
1239-29-8	1
67-16-3	0
112665-43-7	0
78266-06-5	0
752-56-7	1
77-90-7	1
9007-43-6	0
59643-91-3	1
18917-95-8	0
114977-28-5	1
58306-30-2	1
26266-57-9	0
1235-82-1	1
22465-48-1	1
486-67-9	0
111-02-4	0
2140-46-7	0
804-36-4	1
3039-71-2	0
14992-59-7	1
522-40-7	0
21679-14-1	0
1777-82-8	0
5817-39-0	0
98753-19-6	0
27589-33-9	0
87233-62-3	0
89396-94-1	0
148849-67-6	0
110221-44-8	0
61036-62-2	0
796104-87-5	0
212141-54-3	1
380315-80-0	1
63358-49-6	0
35189-28-7	1
40516-48-1	0
13254-33-6	0
6577-41-9	1
69-25-0	0
72739-14-1	0
76333-53-4	0
29493-77-4	0
118-68-3	1
850140-15-7	1
832-92-8	0
5688-80-2	0
14648-14-7	0
133005-40-0	0
53757-34-9	0
49570-63-0	0
2922-44-3	1
911-65-9	1
55096-75-8	1
4968-48-3	0
64-52-8	1
63903-74-2	1
58918-34-6	1
90736-23-5	0
78995-18-3	1
78995-09-2	1
5156-58-1	0
50505-91-4	1
42011-76-7	1
60676-84-8	0
1473-95-6	0
117332-94-2	1
131690-45-4	1
117332-93-1	0
79278-88-9	0
50505-88-9	0
50505-89-0	1
24973-25-9	0
50505-85-6	1
74341-83-6	0
1502-95-0	0
120693-79-0	1
51-57-0	0
300-42-5	0
26194-77-4	0
125-79-1	0
1639-60-7	0
6211-15-0	0
3372-02-9	0
3239-45-0	0
3616-78-2	0
57-43-2	0
20224-45-7	0
22328-94-5	0
340-57-8	1
502-85-2	0
50-37-3	1
50505-93-6	1
50505-92-5	0
29705-96-2	0
124819-26-7	1
124819-25-6	1
69049-06-5	0
60561-17-3	1
2426-63-3	0
1934-71-0	0
106133-22-6	0
53-21-4	0
1422-07-7	1
795-38-0	0
509-60-4	0
152885-09-1	0
74341-78-9	0
64057-70-1	0
487-93-4	0
NOCAS_48895	0
68677-26-9	0
7558-73-8	0
520-53-6	0
1095-90-5	1
1892-80-4	0
36415-61-9	1
520-52-5	0
53152-21-9	1
1443-44-3	0
230615-23-3	1
50-57-7	0
62476-59-9	0
74258-86-9	0
16870-37-4	0
146464-95-1	1
128517-07-7	1
361442-04-8	0
133814-19-4	0
220620-09-7	0
147816-23-7	0
104075-48-1	1
40077-57-4	1
88475-69-8	0
2667-89-2	0
65002-17-7	0
52712-76-2	0
101827-46-7	0
111696-23-2	0
75498-96-3	0
113981-44-5	0
118443-89-3	0
41136-22-5	0
3858-89-7	0
201530-41-8	1
83435-67-0	1
59198-70-8	0
5538-94-3	1
40054-69-1	1
56-59-7	0
194798-83-9	0
2105-43-3	0
72590-77-3	0
37280-56-1	0
144481-98-1	0
64808-48-6	0
187164-19-8	1
9066-59-5	0
66803-19-8	0
13997-19-8	0
38051-02-4	0
4784-40-1	0
70384-29-1	1
53251-94-8	1
107667-60-7	0
927-19-5	0
103177-37-3	0
8003-34-7	0
25126-32-3	0
28002-18-8	0
122341-38-2	1
6809-52-5	0
149845-07-8	0
174484-41-4	0
134308-13-7	1
9002-96-4	1
16283-36-6	0
81938-43-4	0
82989-25-1	0
36637-18-0	0
155213-67-5	1
84-97-9	1
88768-40-5	1
152751-57-0	0
13422-55-4	1
14293-44-8	0
16777-42-7	1
42864-78-8	0
54573-75-0	1
5611-51-8	0
150915-40-5	0
94841-17-5	0
3964-81-6	0
51-77-4	0
54533-86-7	0
78281-72-8	0
136790-76-6	0
131918-61-1	0
1961-77-9	1
804-30-8	1
83105-70-8	1
147-24-0	0
119169-78-7	0
113852-37-2	0
223652-90-2	0
138786-67-1	0
117091-64-2	1
22199-08-2	0
122795-43-1	0
103909-75-7	1
86780-90-7	1
144060-53-7	0
104054-27-5	0
122647-32-9	0
141626-36-0	1
35607-66-0	0
104757-53-1	1
63516-07-4	0
599179-03-0	0
198481-33-3	1
52212-02-9	0
87848-99-5	0
61941-56-8	0
616202-92-7	0
518048-05-0	0
90038-01-0	0
91503-79-6	0
120066-54-8	0
10040-45-6	0
3836-23-5	1
55077-30-0	0
5534-02-1	1
86197-47-9	0
4956-37-0	1
4891-15-0	1
9004-38-0	0
72822-13-0	0
111-60-4	0
113-79-1	0
136-23-2	1
198470-85-8	0
491-59-8	0
103-82-2	0
4822-44-0	1
137-40-6	0
93-30-1	0
74-79-3	0
52-01-7	1
99614-02-5	0
69-53-4	0
58-85-5	0
104-32-5	1
6893-26-1	0
56-86-0	0
124756-23-6	1
24729-96-2	0
5794-24-1	1
835-31-4	0
87151-85-7	1
300-39-0	0
75899-68-2	0
17316-67-5	0
83150-76-9	0
1142337-10-7	1
100-52-7	0
369-77-7	1
439-14-5	1
1092351-67-1	1
972-02-1	0
50-03-3	0
37132-72-2	0
898128-45-5	1
101-40-6	0
25447-66-9	0
868540-17-4	1
115-93-5	1
198904-31-3	1
69388-79-0	1
148-24-3	1
7413-36-7	0
5467-78-7	0
79069-94-6	1
82834-16-0	0
963-14-4	0
7047-84-9	0
7281-04-1	1
60-23-1	0
113507-06-5	1
530-43-8	0
633-03-4	1
111-40-0	0
4261-68-1	0
NOCAS_48702	0
35418-55-4	0
87-79-6	0
35531-88-5	0
4023-65-8	0
87-00-3	0
110-16-7	0
144-67-2	0
2898-12-6	1
19455-21-1	0
53-86-1	1
911-45-5	1
113-38-2	1
99-45-6	0
1811-31-0	0
1255-49-8	0
17575-21-2	1
474-40-8	0
67-78-7	0
83275-56-3	0
130-37-0	1
549-18-8	1
61869-08-7	1
17692-43-2	0
153439-40-8	0
5868-05-3	0
107793-72-6	0
121961-22-6	0
1255-35-2	1
125-65-5	0
1597-82-6	0
20684-06-4	0
2430-27-5	0
26615-21-4	1
27959-26-8	0
346-18-9	0
36304-84-4	0
51146-56-6	0
51762-05-1	0
596-51-0	0
64241-34-5	0
69049-73-6	0
70-07-5	0
98418-47-4	1
94-37-1	1
57-83-0	1
76-43-7	0
92-31-9	1
69-81-8	1
58-18-4	1
108-01-0	0
32449-92-6	0
58367-01-4	0
102-71-6	0
434-22-0	1
5534-09-8	1
483-20-5	0
54646-38-7	1
114607-46-4	0
444731-52-6	1
25507-04-4	0
84611-23-4	0
119-41-5	0
482-44-0	1
2392-39-4	0
81-81-2	0
36587-93-6	0
593-85-1	0
29701-07-3	0
134-36-1	0
526-99-8	0
372965-00-9	0
4696-76-8	0
6559-91-7	1
117467-28-4	0
555-77-1	1
129300-27-2	1
7456-24-8	1
114856-44-9	0
254877-67-3	0
NOCAS_48522	1
33643-49-1	0
33643-46-8	0
114-85-2	0
655-35-6	0
32784-82-0	0
17506-66-0	0
907169-79-3	1
317-52-2	0
116-49-4	0
8015-61-0	1
144-75-2	0
18559-59-6	0
35941-71-0	0
1977-11-3	0
24600-36-0	0
115-63-9	0
132-35-4	0
85468-01-5	0
5982-61-6	0
759437-26-8	1
218600-53-4	1
337-03-1	0
35440-53-0	0
NOCAS_48767	0
902261-63-6	0
620-99-5	0
1319-77-3	0
88598-74-7	0
123-30-8	1
79-20-9	0
100-42-5	0
4252-78-2	1
19881-18-6	1
251565-85-2	0
127985-21-1	0
106134-33-2	0
263248-42-6	1
16488-48-5	0
2020-25-9	0
180064-38-4	0
150683-30-0	1
21216-78-4	0
51022-74-3	0
187269-40-5	0
243120-89-0	0
150408-73-4	1
167820-10-2	1
97683-31-3	0
103725-47-9	0
13402-08-9	0
132810-10-7	0
145918-75-8	1
NOCAS_48792	1
616-96-6	0
14261-75-7	0
69956-77-0	0
79714-31-1	1
2001-81-2	1
128420-61-1	1
80879-63-6	0
21590-92-1	0
15387-18-5	1
103922-33-4	0
123258-84-4	1
101001-34-7	0
101973-77-7	0
120958-90-9	0
114417-20-8	0
3979-76-8	0
14417-88-0	0
134865-33-1	0
103377-41-9	1
94739-29-4	1
143343-83-3	0
33765-68-3	1
1766-91-2	0
14838-45-0	0
149838-23-3	0
4630-95-9	1
3772-76-7	0
27877-51-6	1
123548-56-1	0
117279-73-9	1
139233-53-7	1
82547-58-8	0
631-27-6	0
156137-99-4	0
13522-19-5	1
108319-06-8	0
1421-14-3	0
21721-92-6	0
25803-14-9	0
31224-92-7	1
31188-99-5	0
34645-84-6	0
57574-09-1	0
63845-42-1	0
76568-02-0	0
75820-08-5	0
86-12-4	0
87760-53-0	0
3818-37-9	0
22661-76-3	0
14008-48-1	1
1492-02-0	0
7296-30-2	0
185517-21-9	0
57132-53-3	1
546-71-4	1
7195-27-9	0
99665-00-6	0
89419-40-9	1
127254-12-0	0
7077-34-1	0
642-83-1	0
14587-50-9	1
41653-21-8	0
25439-20-7	1
118635-52-2	0
5486-77-1	0
841-73-6	0
110958-19-5	0
116287-13-9	1
62-90-8	0
5593-20-4	1
103639-04-9	0
33401-94-4	0
6170-42-9	0
7280-37-7	0
8067-24-1	0
83-07-8	0
96-82-2	0
7492-31-1	0
850-52-2	1
